catch_id,sample_row_id,station_code,start_date,start_time,common_name,fork_length,dead,lifestage,weight,count,run,count_reference,ad_pelvic,adipose_clipped
956496,33916,gate 5,2023-03-03,09:23:00,Threespine Stickleback,28,TRUE,not provided,NA,1,not recorded,0,FALSE,FALSE
956497,33916,gate 5,2023-03-03,09:23:00,Chinook Salmon,86,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956501,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,79,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956502,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,80,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956503,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,84,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956504,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,89,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956505,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,92,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956506,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,93,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956507,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,94,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956508,33917,gate 6,2023-03-03,09:28:00,Chinook Salmon,95,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956509,33918,gate 7,2023-03-03,09:31:00,Chinook Salmon,82,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956510,33919,gate 8,2023-03-03,09:34:00,Chinook Salmon,85,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956511,33920,gate 1,2023-03-03,21:16:00,Chinook Salmon,102,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956512,33921,gate 5,2023-03-03,21:08:00,Threespine Stickleback,28,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956513,33921,gate 5,2023-03-03,21:08:00,Sacramento Squawfish,73,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956514,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,91,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956515,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,93,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956516,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,95,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956517,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,96,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956518,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,98,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956519,33921,gate 5,2023-03-03,21:08:00,Chinook Salmon,100,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956521,33923,gate 6,2023-03-03,20:57:00,Sacramento Squawfish,90,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956522,33923,gate 6,2023-03-03,20:57:00,Sacramento Squawfish,62,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956523,33923,gate 6,2023-03-03,20:57:00,Sacramento Squawfish,91,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956524,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,79,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956525,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,80,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956526,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,81,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956527,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,87,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956528,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,88,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956529,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,89,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956530,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,90,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956531,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,93,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956532,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,95,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956533,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,97,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956534,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,98,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956535,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,100,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956536,33923,gate 6,2023-03-03,20:57:00,Chinook Salmon,101,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956537,33924,gate 7,2023-03-03,21:00:00,Sacramento Squawfish,75,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956538,33924,gate 7,2023-03-03,21:00:00,Sacramento Squawfish,80,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956539,33924,gate 7,2023-03-03,21:00:00,Chinook Salmon,82,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956540,33924,gate 7,2023-03-03,21:00:00,Chinook Salmon,84,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956541,33924,gate 7,2023-03-03,21:00:00,Chinook Salmon,95,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956542,33924,gate 7,2023-03-03,21:00:00,Chinook Salmon,100,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956543,33925,gate 8,2023-03-03,21:04:00,Sacramento Squawfish,84,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956544,33925,gate 8,2023-03-03,21:04:00,Golden Shiner,66,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956545,33925,gate 8,2023-03-03,21:04:00,Chinook Salmon,70,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956546,33926,gate 1,2023-03-02,15:35:00,Sacramento Squawfish,63,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956547,33926,gate 1,2023-03-02,15:35:00,Chinook Salmon,76,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956548,33926,gate 1,2023-03-02,15:35:00,Chinook Salmon,83,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956549,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,63,FALSE,not provided,NA,1,spring run,0,FALSE,FALSE
956550,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,54,FALSE,not provided,NA,2,fall run,0,FALSE,TRUE
956551,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,65,FALSE,not provided,NA,2,spring run,0,FALSE,TRUE
956552,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,68,FALSE,not provided,NA,2,spring run,0,FALSE,TRUE
956553,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,71,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956554,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,73,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956555,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,74,FALSE,not provided,NA,2,spring run,0,FALSE,TRUE
956556,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,75,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956557,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,76,FALSE,not provided,NA,4,spring run,0,FALSE,TRUE
956558,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,77,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956559,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,78,FALSE,not provided,NA,3,spring run,0,FALSE,TRUE
956560,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,80,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956610,33927,gate 5,2023-03-02,15:30:00,Chinook Salmon,NA,FALSE,not provided,NA,18,not recorded,0,FALSE,TRUE
956561,33928,gate 6,2023-03-02,15:25:00,Hardhead,46,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956562,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,43,FALSE,not provided,NA,1,fall run,0,FALSE,FALSE
956563,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,49,FALSE,not provided,NA,1,fall run,0,FALSE,FALSE
956564,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,54,FALSE,not provided,NA,1,fall run,0,FALSE,FALSE
956565,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,72,FALSE,not provided,NA,1,spring run,0,FALSE,FALSE
956566,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,59,FALSE,not provided,NA,1,fall run,0,FALSE,TRUE
956567,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,69,FALSE,not provided,NA,2,spring run,0,FALSE,TRUE
956568,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,72,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956569,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,73,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956570,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,74,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956571,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,75,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956572,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,77,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956573,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,78,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956574,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,80,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956575,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,81,FALSE,not provided,NA,2,spring run,0,FALSE,TRUE
956576,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,82,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956577,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,83,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956578,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,84,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956579,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,86,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956580,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,89,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956581,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,90,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956582,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,91,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956583,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,94,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956611,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,NA,FALSE,not provided,NA,335,not recorded,0,FALSE,TRUE
956613,33928,gate 6,2023-03-02,15:25:00,Chinook Salmon,NA,TRUE,not provided,NA,3,not recorded,0,FALSE,TRUE
956584,33929,gate 7,2023-03-02,15:21:00,Chinook Salmon,55,FALSE,not provided,NA,1,fall run,0,FALSE,TRUE
956585,33929,gate 7,2023-03-02,15:21:00,Chinook Salmon,60,FALSE,not provided,NA,1,fall run,0,FALSE,TRUE
956586,33929,gate 7,2023-03-02,15:21:00,Chinook Salmon,76,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956587,33930,gate 8,2023-03-02,15:18:00,Chinook Salmon,43,FALSE,not provided,NA,1,fall run,0,FALSE,FALSE
956588,33930,gate 8,2023-03-02,15:18:00,Chinook Salmon,68,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956589,33931,gate 1,2023-03-02,18:39:00,Sacramento Squawfish,60,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956590,33931,gate 1,2023-03-02,18:39:00,Sacramento Squawfish,110,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956591,33931,gate 1,2023-03-02,18:39:00,Prickly Sculpin,96,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956592,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,70,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956593,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,72,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956594,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,73,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956595,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,75,FALSE,not provided,NA,3,spring run,0,FALSE,TRUE
956596,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,76,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956597,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,77,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956598,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,80,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956599,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,81,FALSE,not provided,NA,1,spring run,0,FALSE,TRUE
956600,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,83,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956601,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,84,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956602,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,85,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956603,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,87,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956604,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,89,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956605,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,90,FALSE,not provided,NA,2,winter run,0,FALSE,TRUE
956606,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,91,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956607,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,100,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956608,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,101,FALSE,not provided,NA,1,winter run,0,FALSE,TRUE
956609,33931,gate 1,2023-03-02,18:39:00,Chinook Salmon,NA,FALSE,not provided,NA,5,not recorded,0,FALSE,TRUE
956614,33932,gate 5,2023-03-02,18:26:00,Sacramento Squawfish,96,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956615,33932,gate 5,2023-03-02,18:26:00,Sacramento Squawfish,43,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956616,33932,gate 5,2023-03-02,18:26:00,Sacramento Squawfish,45,FALSE,not provided,NA,1,not recorded,0,FALSE,FALSE
956617,33932,gate 5,2023-03-02,18:26:00,Chinook Salmon,40,FALSE,not provided,NA,1,fall run,0,FALSE,FALSE
956618,33932,gate 5,2023-03-02,18:26:00,Chinook Salmon,120,FALSE,not provided,NA,1,winter run,0,FALSE,FALSE
